Dealer;Date;Time;Result
Valerija;20200229;07:51;5
Valerija;20200229;07:50;5
Valerija;20200229;07:48;2
Valerija;20200229;07:47;1
Valerija;20200229;07:46;5
Valerija;20200229;07:45;1
Valerija;20200229;07:44;2 ROLLS
Valerija;20200229;07:39;2 ROLLS
Valerija;20200229;07:37;2
Valerija;20200229;07:37;CHANCE
Valerija;20200229;07:35;1
Valerija;20200229;07:34;1
Valerija;20200229;07:33;2
Valerija;20200229;07:33;4 ROLLS
Valerija;20200229;07:29;1
Valerija;20200229;07:28;1
Valerija;20200229;07:27;2
Valerija;20200229;07:26;1
Valerija;20200229;07:26;4 ROLLS
Valerija;20200229;07:21;2
Valerija;20200229;07:21;1
Valerija;20200229;07:20;1
Valerija;20200229;07:19;CHANCE
Valerija;20200229;07:18;1
Valerija;20200229;07:17;5
Valerija;20200229;05:52;1
Valerija;20200229;05:52;2
Valerija;20200229;05:51;2
Valerija;20200229;05:50;1
Valerija;20200229;05:49;2
Valerija;20200229;05:48;2
Valerija;20200229;05:48;1
Valerija;20200229;05:47;1
Valerija;20200229;05:47;2
Valerija;20200229;05:44;5
Valerija;20200229;05:43;2
Valerija;20200229;05:43;5
Valerija;20200229;05:42;1
Valerija;20200229;05:41;2
Valerija;20200229;05:40;1
Valerija;20200229;05:39;1
Valerija;20200229;05:39;2
Valerija;20200229;05:38;4 ROLLS
Valerija;20200229;05:34;5
Valerija;20200229;05:33;1
Valerija;20200229;05:33;1
Valerija;20200229;05:32;1
Valerija;20200229;05:31;1
Valerija;20200229;05:30;1
Valerija;20200229;05:29;5
Valerija;20200229;05:28;5
Valerija;20200229;05:28;1
Valerija;20200229;05:27;2
Valerija;20200229;05:26;10
Valerija;20200229;05:25;10
Valerija;20200229;05:24;2 ROLLS
Valerija;20200229;05:22;2
Valerija;20200229;05:21;2
Valerija;20200229;05:20;1
Valerija;20200229;05:19;5
Valerija;20200229;05:19;2 ROLLS
Valerija;20200229;05:15;1
Valerija;20200229;03:52;2 ROLLS
Valerija;20200229;03:49;2
Valerija;20200229;03:48;2
Valerija;20200229;03:48;2
Valerija;20200229;03:47;1
Valerija;20200229;03:46;1
Valerija;20200229;03:45;1
Valerija;20200229;03:44;2
Valerija;20200229;03:44;2
Valerija;20200229;03:43;2 ROLLS
Valerija;20200229;03:40;2
Valerija;20200229;03:39;4 ROLLS
Valerija;20200229;03:36;5
Valerija;20200229;03:35;2
Valerija;20200229;03:34;1
Valerija;20200229;03:33;5
Valerija;20200229;03:33;2
Valerija;20200229;03:32;1
Valerija;20200229;03:31;1
Valerija;20200229;03:30;2
Valerija;20200229;03:29;2
Valerija;20200229;03:29;2
Valerija;20200229;03:28;5
Valerija;20200229;03:27;10
Valerija;20200229;03:26;1
Valerija;20200229;03:25;1
Valerija;20200229;03:25;2
Valerija;20200229;03:24;1
Valerija;20200229;03:23;1
Valerija;20200229;03:22;1
Valerija;20200229;03:21;1
Valerija;20200229;03:21;4 ROLLS
Valerija;20200229;01:53;1
Valerija;20200229;01:52;1
Valerija;20200229;01:51;5
Valerija;20200229;01:51;2
Valerija;20200229;01:50;1
Valerija;20200229;01:49;1
Valerija;20200229;01:48;2
Valerija;20200229;01:47;2
Valerija;20200229;01:47;10
Valerija;20200229;01:46;2
Valerija;20200229;01:45;1
Valerija;20200229;01:44;1
Valerija;20200229;01:44;2
Valerija;20200229;01:43;2
Valerija;20200229;01:42;1
Valerija;20200229;01:41;1
Valerija;20200229;01:40;2
Valerija;20200229;01:40;2
Valerija;20200229;01:39;5
Valerija;20200229;01:38;2
Valerija;20200229;01:37;10
Valerija;20200229;01:37;2
Valerija;20200229;01:36;1
Valerija;20200229;01:35;2
Valerija;20200229;01:34;5
Valerija;20200229;01:33;5
Valerija;20200229;01:33;1
Valerija;20200229;01:32;2
Valerija;20200229;01:31;1
Valerija;20200229;01:30;1
Valerija;20200229;01:29;1
Valerija;20200229;01:29;5
Valerija;20200229;01:28;1
Valerija;20200229;01:27;1
Valerija;20200229;01:26;1
Valerija;20200229;01:26;2
Valerija;20200229;01:25;5
Valerija;20200229;01:24;1
Valerija;20200229;01:23;1
Valerija;20200229;01:22;2
Valerija;20200229;01:22;10
Valerija;20200229;01:21;1
Valerija;20200229;01:20;1
Valerija;20200229;01:19;1
Valerija;20200229;01:18;2
Valerija;20200229;01:18;2
Valerija;20200229;01:17;5
Valerija;20200229;01:15;1
Valerija;20200229;01:14;10
Valerija;20200229;01:13;5
Valerija;20200229;01:13;1
Valerija;20200229;01:12;1
